#########################################################################
#Electron Drift Line StepLength=0.5cm at rIN=61.25cm				#
#rIN_cm		zIN_cm		DriftTimeIN_us	rOUT_cm		z_OUT_cm#
#########################################################################
61.25		2		2.74003		61.247		2.49999
61.25		2		5.47975		61.2437		2.99998
61.25		2		8.21915		61.2401		3.49997
61.25		2		10.9582		61.2363		3.99995
61.25		2		13.697		61.2324		4.49994
61.25		2		16.4354		61.2284		4.99992
61.25		2		19.1736		61.2244		5.49991
61.25		2		21.9114		61.2203		5.99989
61.25		2		24.649		61.2163		6.49987
61.25		2		27.3863		61.2123		6.99986
61.25		2		30.1235		61.2084		7.49984
61.25		2		32.8604		61.2046		7.99983
61.25		2		35.5971		61.2009		8.49981
61.25		2		38.3336		61.1973		8.9998
61.25		2		41.07		61.1938		9.49979
61.25		2		43.8063		61.1904		9.99978
61.25		2		46.5425		61.1871		10.4998
61.25		2		49.2785		61.184		10.9998
61.25		2		52.0144		61.1809		11.4997
61.25		2		54.7503		61.1779		11.9997
61.25		2		57.4861		61.1751		12.4997
61.25		2		60.2218		61.1723		12.9997
61.25		2		62.9574		61.1696		13.4997
61.25		2		65.693		61.1671		13.9997
61.25		2		68.4285		61.1646		14.4997
61.25		2		71.164		61.1622		14.9997
61.25		2		73.8994		61.1598		15.4997
61.25		2		76.6348		61.1576		15.9997
61.25		2		79.3701		61.1554		16.4997
61.25		2		82.1054		61.1532		16.9997
61.25		2		84.8407		61.1512		17.4997
61.25		2		87.576		61.1491		17.9997
61.25		2		90.3112		61.1472		18.4997
61.25		2		93.0464		61.1453		18.9997
61.25		2		95.7815		61.1434		19.4997
61.25		2		98.5166		61.1416		19.9997
61.25		2		101.252		61.1399		20.4997
61.25		2		103.987		61.1381		20.9996
61.25		2		106.722		61.1365		21.4996
61.25		2		109.457		61.1348		21.9996
61.25		2		112.192		61.1333		22.4996
61.25		2		114.927		61.1317		22.9996
61.25		2		117.662		61.1302		23.4996
61.25		2		120.397		61.1287		23.9996
61.25		2		123.132		61.1273		24.4996
61.25		2		125.867		61.1258		24.9996
61.25		2		128.602		61.1245		25.4996
61.25		2		131.337		61.1231		25.9996
61.25		2		134.072		61.1218		26.4996
61.25		2		136.806		61.1205		26.9996
61.25		2		139.541		61.1193		27.4996
61.25		2		142.276		61.1181		27.9996
61.25		2		145.011		61.1169		28.4996
61.25		2		147.746		61.1157		28.9996
61.25		2		150.481		61.1146		29.4996
61.25		2		153.216		61.1134		29.9996
61.25		2		155.95		61.1123		30.4996
61.25		2		158.685		61.1113		30.9996
61.25		2		161.42		61.1102		31.4996
61.25		2		164.155		61.1092		31.9996
61.25		2		166.889		61.1082		32.4996
61.25		2		169.624		61.1072		32.9996
61.25		2		172.359		61.1063		33.4996
61.25		2		175.094		61.1054		33.9996
61.25		2		177.828		61.1045		34.4996
61.25		2		180.563		61.1036		34.9996
61.25		2		183.298		61.1027		35.4996
61.25		2		186.032		61.1019		35.9996
61.25		2		188.767		61.1011		36.4996
61.25		2		191.502		61.1003		36.9996
61.25		2		194.237		61.0995		37.4996
61.25		2		196.971		61.0987		37.9996
61.25		2		199.706		61.0979		38.4996
61.25		2		202.44		61.0972		38.9996
61.25		2		205.175		61.0965		39.4996
61.25		2		207.91		61.0958		39.9996
61.25		2		210.644		61.0951		40.4996
61.25		2		213.379		61.0945		40.9996
61.25		2		216.114		61.0938		41.4996
61.25		2		218.848		61.0932		41.9996
61.25		2		221.583		61.0926		42.4996
61.25		2		224.318		61.092		42.9996
61.25		2		227.052		61.0914		43.4996
61.25		2		229.787		61.0909		43.9996
61.25		2		232.521		61.0903		44.4996
61.25		2		235.256		61.0898		44.9996
61.25		2		237.991		61.0893		45.4996
61.25		2		240.725		61.0888		45.9996
61.25		2		243.46		61.0883		46.4996
61.25		2		246.194		61.0878		46.9996
61.25		2		248.929		61.0874		47.4996
61.25		2		251.663		61.0869		47.9996
61.25		2		254.398		61.0865		48.4996
61.25		2		257.133		61.0861		48.9996
61.25		2		259.867		61.0857		49.4996
61.25		2		262.602		61.0853		49.9996
61.25		2		265.336		61.0849		50.4996
61.25		2		268.071		61.0845		50.9996
61.25		2		270.805		61.0842		51.4996
61.25		2		273.54		61.0838		51.9996
61.25		2		276.274		61.0835		52.4996
61.25		2		279.009		61.0832		52.9996
61.25		2		281.743		61.0829		53.4996
61.25		2		284.478		61.0826		53.9996
61.25		2		287.213		61.0823		54.4996
61.25		2		289.947		61.0821		54.9996
61.25		2		292.682		61.0818		55.4996
61.25		2		295.416		61.0816		55.9996
61.25		2		298.151		61.0814		56.4996
61.25		2		300.885		61.0812		56.9996
61.25		2		303.62		61.0809		57.4996
61.25		2		306.354		61.0808		57.9996
61.25		2		309.089		61.0806		58.4996
61.25		2		311.823		61.0804		58.9996
61.25		2		314.558		61.0803		59.4996
61.25		2		317.292		61.0801		59.9996
61.25		2		320.027		61.08		60.4996
61.25		2		322.761		61.0799		60.9996
61.25		2		325.496		61.0797		61.4996
61.25		2		328.23		61.0796		61.9996
61.25		2		330.965		61.0796		62.4996
61.25		2		333.699		61.0795		62.9996
61.25		2		336.434		61.0794		63.4996
61.25		2		339.168		61.0794		63.9996
61.25		2		341.903		61.0793		64.4996
61.25		2		344.637		61.0793		64.9996
61.25		2		347.372		61.0793		65.4996
61.25		2		350.106		61.0792		65.9996
61.25		2		352.841		61.0792		66.4996
61.25		2		355.575		61.0793		66.9996
61.25		2		358.31		61.0793		67.4996
61.25		2		361.044		61.0793		67.9996
61.25		2		363.779		61.0794		68.4996
61.25		2		366.514		61.0794		68.9996
